target_key,target_id,source_text,current_audio_url,status,gcs_path,old_audio_url,new_audio_url,provider,model,error
HN4-002 script:2,89433566-b321-4f99-ac20-9ffb87e69d6b:script:2,医者に相談したほうがいいですか。,https://storage.googleapis.com/harukoto-storage/tts/lesson/89433566-b321-4f99-ac20-9ffb87e69d6b/script-line-2-regen-20260518T030500Z.mp3,planned,tts/lesson/89433566-b321-4f99-ac20-9ffb87e69d6b/script-line-2-regen-20260518T074847Z.mp3,,,,,
HN4-005 script:2,17851e67-db52-41b8-a651-d416251b0ead:script:2,はい。授業の予約にも申し込めます。,https://storage.googleapis.com/harukoto-storage/tts/lesson/17851e67-db52-41b8-a651-d416251b0ead/script-line-2-regen-20260518T030500Z.mp3,planned,tts/lesson/17851e67-db52-41b8-a651-d416251b0ead/script-line-2-regen-20260518T074847Z.mp3,,,,,
HN4-006 script:1,94d8d321-17c6-4fa1-8c50-af29c08e9c22:script:1,この川の浅さも分かりますか。,https://storage.googleapis.com/harukoto-storage/tts/lesson/94d8d321-17c6-4fa1-8c50-af29c08e9c22/script-line-1-regen-20260518T030500Z.mp3,planned,tts/lesson/94d8d321-17c6-4fa1-8c50-af29c08e9c22/script-line-1-regen-20260518T074847Z.mp3,,,,,
HN4-008 script:2,78e8b581-c81d-4465-b49d-cf0e4b49db4a:script:2,会議が長かったのです。,https://storage.googleapis.com/harukoto-storage/tts/lesson/78e8b581-c81d-4465-b49d-cf0e4b49db4a/script-line-2-regen-20260518T030500Z.mp3,planned,tts/lesson/78e8b581-c81d-4465-b49d-cf0e4b49db4a/script-line-2-regen-20260518T074847Z.mp3,,,,,
HN4-011 script:3,03cfdb15-c916-450c-8168-9052f3e754aa:script:3,厚さと柔らかさを比べて選びましょう。,https://storage.googleapis.com/harukoto-storage/tts/lesson/03cfdb15-c916-450c-8168-9052f3e754aa/script-line-3-regen-20260518T030500Z.mp3,planned,tts/lesson/03cfdb15-c916-450c-8168-9052f3e754aa/script-line-3-regen-20260518T074847Z.mp3,,,,,
