target_key,target_id,source_text,current_audio_url,status,gcs_path,old_audio_url,new_audio_url,provider,model,error
HN4-013 script:1,254bf018-bbdc-41f7-9458-67cedba4a4c7:script:1,分からなければ、受付で聞いてみましょう。,https://storage.googleapis.com/harukoto-storage/tts/lesson/254bf018-bbdc-41f7-9458-67cedba4a4c7/script-line-1.mp3,failed,,,,,,FlaggedTtsRegenerationError: published lesson not found: 254bf018-bbdc-41f7-9458-67cedba4a4c7
HN4-013 script:2,254bf018-bbdc-41f7-9458-67cedba4a4c7:script:2,案内の紙も読んでみます。,https://storage.googleapis.com/harukoto-storage/tts/lesson/254bf018-bbdc-41f7-9458-67cedba4a4c7/script-line-2.mp3,failed,,,,,,FlaggedTtsRegenerationError: published lesson not found: 254bf018-bbdc-41f7-9458-67cedba4a4c7
HN4-015 script:1,e812f2e7-4e5e-4e02-b566-47893239c20c:script:1,それは心配ですね。,https://storage.googleapis.com/harukoto-storage/tts/lesson/e812f2e7-4e5e-4e02-b566-47893239c20c/script-line-1.mp3,failed,,,,,,FlaggedTtsRegenerationError: published lesson not found: e812f2e7-4e5e-4e02-b566-47893239c20c
