target_key,target_id,source_text,current_audio_url,status,gcs_path,old_audio_url,new_audio_url,provider,model,error
HN4-003 question:4,82d7334e-c4c4-4102-86ea-7be9b3218bce:question:4,間に合わない___。 (시간에 맞지 못할지도 모릅니다.),https://storage.googleapis.com/harukoto-storage/tts/lesson/82d7334e-c4c4-4102-86ea-7be9b3218bce/question-4.mp3,failed,,,,,,"ServerError: 500 INTERNAL. {'error': {'code': 500, 'message': 'An internal error has occurred. Please retry or report in https://developers.generativeai.google/guide/troubleshooting', 'status': 'INTERNAL'}}"
HN4-004 question:4,8368ee77-eeb8-48b2-9c81-2cfd597e5f7a:question:4,電車に乗る___。 (전철을 탈 수밖에 없습니다.),https://storage.googleapis.com/harukoto-storage/tts/lesson/8368ee77-eeb8-48b2-9c81-2cfd597e5f7a/question-4.mp3,regenerated,tts/lesson/8368ee77-eeb8-48b2-9c81-2cfd597e5f7a/question-4-regen-20260518T055500Z.mp3,https://storage.googleapis.com/harukoto-storage/tts/lesson/8368ee77-eeb8-48b2-9c81-2cfd597e5f7a/question-4.mp3,https://storage.googleapis.com/harukoto-storage/tts/lesson/8368ee77-eeb8-48b2-9c81-2cfd597e5f7a/question-4-regen-20260518T055500Z.mp3,gemini,gemini-2.5-flash-preview-tts,
HN4-005 question:4,17851e67-db52-41b8-a651-d416251b0ead:question:4,文を翻訳___。 (문장을 번역할 수 있습니다.),https://storage.googleapis.com/harukoto-storage/tts/lesson/17851e67-db52-41b8-a651-d416251b0ead/question-4.mp3,failed,,,,,,"ClientError: 400 INVALID_ARGUMENT. {'error': {'code': 400, 'message': 'Model tried to generate text, but it should only be used for TTS. Make sure your instructions are clear to only generate audio from a given text transcript.', 'status': 'INVALID_ARGUMENT'}}"
