target_key,target_id,source_text,current_audio_url,status,gcs_path,old_audio_url,new_audio_url,provider,model,error
HN4-001 script:3,b544d1f5-8089-45f8-b3d9-6428b60a0ece:script:3,分かりました。丁寧に確認します。,https://storage.googleapis.com/harukoto-storage/tts/lesson/b544d1f5-8089-45f8-b3d9-6428b60a0ece/script-line-3.mp3,regenerated,tts/lesson/b544d1f5-8089-45f8-b3d9-6428b60a0ece/script-line-3-regen-20260514T083500Z.mp3,https://storage.googleapis.com/harukoto-storage/tts/lesson/b544d1f5-8089-45f8-b3d9-6428b60a0ece/script-line-3.mp3,https://storage.googleapis.com/harukoto-storage/tts/lesson/b544d1f5-8089-45f8-b3d9-6428b60a0ece/script-line-3-regen-20260514T083500Z.mp3,elevenlabs,eleven_multilingual_v2,
HN4-003 script:1,82d7334e-c4c4-4102-86ea-7be9b3218bce:script:1,じゃあ、会議に間に合わないかもしれませんね。,https://storage.googleapis.com/harukoto-storage/tts/lesson/82d7334e-c4c4-4102-86ea-7be9b3218bce/script-line-1.mp3,regenerated,tts/lesson/82d7334e-c4c4-4102-86ea-7be9b3218bce/script-line-1-regen-20260514T083500Z.mp3,https://storage.googleapis.com/harukoto-storage/tts/lesson/82d7334e-c4c4-4102-86ea-7be9b3218bce/script-line-1.mp3,https://storage.googleapis.com/harukoto-storage/tts/lesson/82d7334e-c4c4-4102-86ea-7be9b3218bce/script-line-1-regen-20260514T083500Z.mp3,elevenlabs,eleven_multilingual_v2,
HN4-004 script:3,8368ee77-eeb8-48b2-9c81-2cfd597e5f7a:script:3,諦めないで、急いで行きましょう。,https://storage.googleapis.com/harukoto-storage/tts/lesson/8368ee77-eeb8-48b2-9c81-2cfd597e5f7a/script-line-3.mp3,regenerated,tts/lesson/8368ee77-eeb8-48b2-9c81-2cfd597e5f7a/script-line-3-regen-20260514T083500Z.mp3,https://storage.googleapis.com/harukoto-storage/tts/lesson/8368ee77-eeb8-48b2-9c81-2cfd597e5f7a/script-line-3.mp3,https://storage.googleapis.com/harukoto-storage/tts/lesson/8368ee77-eeb8-48b2-9c81-2cfd597e5f7a/script-line-3-regen-20260514T083500Z.mp3,elevenlabs,eleven_multilingual_v2,
HN4-006 script:0,94d8d321-17c6-4fa1-8c50-af29c08e9c22:script:0,湖の深さを地図で確認しました。,https://storage.googleapis.com/harukoto-storage/tts/lesson/94d8d321-17c6-4fa1-8c50-af29c08e9c22/script-line-0.mp3,regenerated,tts/lesson/94d8d321-17c6-4fa1-8c50-af29c08e9c22/script-line-0-regen-20260514T083500Z.mp3,https://storage.googleapis.com/harukoto-storage/tts/lesson/94d8d321-17c6-4fa1-8c50-af29c08e9c22/script-line-0.mp3,https://storage.googleapis.com/harukoto-storage/tts/lesson/94d8d321-17c6-4fa1-8c50-af29c08e9c22/script-line-0-regen-20260514T083500Z.mp3,elevenlabs,eleven_multilingual_v2,
HN4-006 script:2,94d8d321-17c6-4fa1-8c50-af29c08e9c22:script:2,はい。線の太さや細さも見られます。,https://storage.googleapis.com/harukoto-storage/tts/lesson/94d8d321-17c6-4fa1-8c50-af29c08e9c22/script-line-2.mp3,regenerated,tts/lesson/94d8d321-17c6-4fa1-8c50-af29c08e9c22/script-line-2-regen-20260514T083500Z.mp3,https://storage.googleapis.com/harukoto-storage/tts/lesson/94d8d321-17c6-4fa1-8c50-af29c08e9c22/script-line-2.mp3,https://storage.googleapis.com/harukoto-storage/tts/lesson/94d8d321-17c6-4fa1-8c50-af29c08e9c22/script-line-2-regen-20260514T083500Z.mp3,elevenlabs,eleven_multilingual_v2,
HN4-008 script:0,78e8b581-c81d-4465-b49d-cf0e4b49db4a:script:0,返事が遅れてすみません。,https://storage.googleapis.com/harukoto-storage/tts/lesson/78e8b581-c81d-4465-b49d-cf0e4b49db4a/script-line-0.mp3,regenerated,tts/lesson/78e8b581-c81d-4465-b49d-cf0e4b49db4a/script-line-0-regen-20260514T083500Z.mp3,https://storage.googleapis.com/harukoto-storage/tts/lesson/78e8b581-c81d-4465-b49d-cf0e4b49db4a/script-line-0.mp3,https://storage.googleapis.com/harukoto-storage/tts/lesson/78e8b581-c81d-4465-b49d-cf0e4b49db4a/script-line-0-regen-20260514T083500Z.mp3,elevenlabs,eleven_multilingual_v2,
HN4-010 script:3,1445c28c-bd0c-4c0a-b8f7-2708c51acca7:script:3,荷物が届くと、メールが来ます。,https://storage.googleapis.com/harukoto-storage/tts/lesson/1445c28c-bd0c-4c0a-b8f7-2708c51acca7/script-line-3.mp3,regenerated,tts/lesson/1445c28c-bd0c-4c0a-b8f7-2708c51acca7/script-line-3-regen-20260514T083500Z.mp3,https://storage.googleapis.com/harukoto-storage/tts/lesson/1445c28c-bd0c-4c0a-b8f7-2708c51acca7/script-line-3.mp3,https://storage.googleapis.com/harukoto-storage/tts/lesson/1445c28c-bd0c-4c0a-b8f7-2708c51acca7/script-line-3-regen-20260514T083500Z.mp3,elevenlabs,eleven_multilingual_v2,
HN4-011 script:1,03cfdb15-c916-450c-8168-9052f3e754aa:script:1,厚い紙と薄い紙がありますね。,https://storage.googleapis.com/harukoto-storage/tts/lesson/03cfdb15-c916-450c-8168-9052f3e754aa/script-line-1.mp3,regenerated,tts/lesson/03cfdb15-c916-450c-8168-9052f3e754aa/script-line-1-regen-20260514T083500Z.mp3,https://storage.googleapis.com/harukoto-storage/tts/lesson/03cfdb15-c916-450c-8168-9052f3e754aa/script-line-1.mp3,https://storage.googleapis.com/harukoto-storage/tts/lesson/03cfdb15-c916-450c-8168-9052f3e754aa/script-line-1-regen-20260514T083500Z.mp3,elevenlabs,eleven_multilingual_v2,
