target_key,target_id,source_text,current_audio_url,status,gcs_path,old_audio_url,new_audio_url,provider,model,error
HN4-020 script:0,8d0b1638-2521-4556-964f-29023d1dbcef:script:0,約束は守るものです。,https://storage.googleapis.com/harukoto-storage/tts/lesson/8d0b1638-2521-4556-964f-29023d1dbcef/script-line-0.mp3,regenerated,tts/lesson/8d0b1638-2521-4556-964f-29023d1dbcef/script-line-0-regen-n4ch05-final-20260527.mp3,https://storage.googleapis.com/harukoto-storage/tts/lesson/8d0b1638-2521-4556-964f-29023d1dbcef/script-line-0.mp3,https://storage.googleapis.com/harukoto-storage/tts/lesson/8d0b1638-2521-4556-964f-29023d1dbcef/script-line-0-regen-n4ch05-final-20260527.mp3,elevenlabs,eleven_multilingual_v2,
HN4-020 script:2,8d0b1638-2521-4556-964f-29023d1dbcef:script:2,挨拶は普通、先にするものです。,https://storage.googleapis.com/harukoto-storage/tts/lesson/8d0b1638-2521-4556-964f-29023d1dbcef/script-line-2.mp3,regenerated,tts/lesson/8d0b1638-2521-4556-964f-29023d1dbcef/script-line-2-regen-n4ch05-final-20260527.mp3,https://storage.googleapis.com/harukoto-storage/tts/lesson/8d0b1638-2521-4556-964f-29023d1dbcef/script-line-2.mp3,https://storage.googleapis.com/harukoto-storage/tts/lesson/8d0b1638-2521-4556-964f-29023d1dbcef/script-line-2-regen-n4ch05-final-20260527.mp3,elevenlabs,eleven_multilingual_v2,
HN4-021 script:0,92a62f1e-1a2f-4b54-897f-50ce13c2696a:script:0,予約したので、席はあるはずです。,https://storage.googleapis.com/harukoto-storage/tts/lesson/92a62f1e-1a2f-4b54-897f-50ce13c2696a/script-line-0.mp3,regenerated,tts/lesson/92a62f1e-1a2f-4b54-897f-50ce13c2696a/script-line-0-regen-n4ch05-final-20260527.mp3,https://storage.googleapis.com/harukoto-storage/tts/lesson/92a62f1e-1a2f-4b54-897f-50ce13c2696a/script-line-0.mp3,https://storage.googleapis.com/harukoto-storage/tts/lesson/92a62f1e-1a2f-4b54-897f-50ce13c2696a/script-line-0-regen-n4ch05-final-20260527.mp3,elevenlabs,eleven_multilingual_v2,
HN4-021 script:2,92a62f1e-1a2f-4b54-897f-50ce13c2696a:script:2,会議の予定は午後に決まるはずです。,https://storage.googleapis.com/harukoto-storage/tts/lesson/92a62f1e-1a2f-4b54-897f-50ce13c2696a/script-line-2.mp3,regenerated,tts/lesson/92a62f1e-1a2f-4b54-897f-50ce13c2696a/script-line-2-regen-n4ch05-final-20260527.mp3,https://storage.googleapis.com/harukoto-storage/tts/lesson/92a62f1e-1a2f-4b54-897f-50ce13c2696a/script-line-2.mp3,https://storage.googleapis.com/harukoto-storage/tts/lesson/92a62f1e-1a2f-4b54-897f-50ce13c2696a/script-line-2-regen-n4ch05-final-20260527.mp3,elevenlabs,eleven_multilingual_v2,
HN4-021 script:3,92a62f1e-1a2f-4b54-897f-50ce13c2696a:script:3,準備はできそうですね。,https://storage.googleapis.com/harukoto-storage/tts/lesson/92a62f1e-1a2f-4b54-897f-50ce13c2696a/script-line-3.mp3,regenerated,tts/lesson/92a62f1e-1a2f-4b54-897f-50ce13c2696a/script-line-3-regen-n4ch05-final-20260527.mp3,https://storage.googleapis.com/harukoto-storage/tts/lesson/92a62f1e-1a2f-4b54-897f-50ce13c2696a/script-line-3.mp3,https://storage.googleapis.com/harukoto-storage/tts/lesson/92a62f1e-1a2f-4b54-897f-50ce13c2696a/script-line-3-regen-n4ch05-final-20260527.mp3,elevenlabs,eleven_multilingual_v2,
